namen,gerundet,cat_f,cat_d
Kilchberg (ZH),NA,NA,NA
Staatswald Galm,NA,NA,NA
Balerna,4288,Economie de,Gewinn von
Syens,239,Economie de,Gewinn von
Birsfelden,533,Economie de,Gewinn von
Münchenwiler,-4698,Perte de,Verlust von
Feldbrunnen-St. Niklaus,1873,Economie de,Gewinn von
Greng,-4914,Perte de,Verlust von
Feuerthalen,NA,NA,NA
Münchwilen (AG),-3243,Perte de,Verlust von
Eggenwil,NA,NA,NA
Coldrerio,1714,Economie de,Gewinn von
Zwieselberg,1398,Economie de,Gewinn von
Holderbank (AG),-3172,Perte de,Verlust von
Port,-3429,Perte de,Verlust von
Böckten,-947,Perte de,Verlust von
Bogis-Bossey,43,Economie de,Gewinn von
Wilen (TG),5916,Economie de,Gewinn von
Vico Morcote,753,Economie de,Gewinn von
Uezwil,-29,Perte de,Verlust von
Rumendingen,11288,Economie de,Gewinn von
Bottighofen,961,Economie de,Gewinn von
Killwangen,NA,NA,NA
Flurlingen,NA,NA,NA
Vevey,1438,Economie de,Gewinn von
Oekingen,NA,NA,NA
Sévery,NA,NA,NA
Eysins,486,Economie de,Gewinn von
Besenbüren,-3767,Perte de,Verlust von
Ramlinsburg,-1483,Perte de,Verlust von
Regensberg,NA,NA,NA
Manno,1616,Economie de,Gewinn von
Cottens (VD),NA,NA,NA
Ferpicloz,-4272,Perte de,Verlust von
Tecknau,-931,Perte de,Verlust von
Mettembert,1155,Economie de,Gewinn von
Mirchel,11869,Economie de,Gewinn von
Lussy-sur-Morges,196,Economie de,Gewinn von
Merzligen,1643,Economie de,Gewinn von
Clarmont,257,Economie de,Gewinn von
Rümlingen,-838,Perte de,Verlust von
Valeyres-sous-Montagny,49,Economie de,Gewinn von
Greifensee,NA,NA,NA
Morbio Inferiore,4326,Economie de,Gewinn von
Thürnen,-1519,Perte de,Verlust von
Bettingen,41,Economie de,Gewinn von
Rennaz,1472,Economie de,Gewinn von
Habsburg,-1511,Perte de,Verlust von
Mörigen,169,Economie de,Gewinn von
Rheineck,NA,NA,NA
Prilly,5624,Economie de,Gewinn von
Montet (Glâne),-4337,Perte de,Verlust von
Paradiso,825,Economie de,Gewinn von
Clavaleyres,NA,NA,NA
Brenzikofen,1239,Economie de,Gewinn von
Lac de Neuchâtel (BE),NA,NA,NA
Hallwil,-29,Perte de,Verlust von
Lavertezzo,18,Economie de,Gewinn von
Curio,172,Economie de,Gewinn von
Willadingen,-2949,Perte de,Verlust von
Chavannes-des-Bois,75,Economie de,Gewinn von
Jongny,12,Economie de,Gewinn von
Deisswil bei Münchenbuchsee,-4663,Perte de,Verlust von
Aegerten,-2825,Perte de,Verlust von
Oberengstringen,NA,NA,NA
Hauterive (NE),-239,Perte de,Verlust von
Chexbres,914,Economie de,Gewinn von
Vufflens-le-Château,15,Economie de,Gewinn von
Ennetbaden,-3331,Perte de,Verlust von
